CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas;inconsistencia_flag
;;3;2025;3897381.04;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;0.0;"CNPJ_SEM_MATCH;CNPJ_INVALIDO;VALOR_ZERADO"
;;3;2025;14912.74;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;1069577610.78;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;192062951.41;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;1856157.66;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;2334411.84;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;2277159.54;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;242830.32;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;1720807.96;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;454531.66;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;57252.3;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;-478254.18;"CNPJ_SEM_MATCH;CNPJ_INVALIDO;VALOR_NEGATIVO"
;;3;2025;-458130.13;"CNPJ_SEM_MATCH;CNPJ_INVALIDO;VALOR_NEGATIVO"
;;3;2025;-20124.05;"CNPJ_SEM_MATCH;CNPJ_INVALIDO;VALOR_NEGATIVO"
;;3;2025;124881.33;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;109573.43;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;15307.9;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;52297.34;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;116622123.31;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;2921013.89;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;4234085.54;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;25435.08;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;124435703.42;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;37541.67;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;423.0;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
;;3;2025;24301733.64;"CNPJ_SEM_MATCH;CNPJ_INVALIDO"
